,loss,accuracy,val_loss,val_accuracy
0,0.39674094319343567,0.8480149507522583,0.4155620038509369,0.847845196723938
1,0.21752206981182098,0.9225777983665466,0.4460524916648865,0.847845196723938
2,0.15887212753295898,0.9431430697441101,0.4808221757411957,0.8430079221725464
3,0.11803106218576431,0.9593093395233154,0.5477937459945679,0.8315743207931519
4,0.09058322757482529,0.9686571955680847,0.6287434101104736,0.8298153281211853
5,0.06965064257383347,0.9791048169136047,0.7081428170204163,0.8262972831726074
6,0.06032794713973999,0.9804245233535767,0.799473226070404,0.821020245552063
7,0.0450424961745739,0.9864730834960938,0.8541349172592163,0.8337730765342712
8,0.036747753620147705,0.9881227612495422,0.9069629907608032,0.8337730765342712
9,0.030933775007724762,0.9901022911071777,0.9641348123550415,0.8337730765342712
